,TWI,Ln(TWI),,,TB (Bloomberg),TB 12 M Sum,,,Trade Balance ,Net non-treasury portfolio flows,Basic Balance 
2008-06,71.21,4.27,,2008-06,-60.177,-717.5,,Jun-08,-717.46,333.48,-383.98
2008-07,70.77,4.26,,2008-07,-64.891,-723.3,,Jul-08,-723.35,293.36,-429.99
2008-08,73.59,4.30,,2008-08,-60.913,-727.5,,Aug-08,-727.46,343.00,-384.46
2008-09,74.74,4.31,,2008-09,-60.14,-731.1,,Sep-08,-731.15,392.82,-338.32
2008-10,78.81,4.37,,2008-10,-59.389,-732.7,,Oct-08,-732.71,286.72,-445.99
2008-11,80.93,4.39,,2008-11,-43.247,-712.8,,Nov-08,-712.84,217.37,-495.47
2008-12,79.00,4.37,,2008-12,-41.858,-695.9,,Dec-08,-695.94,183.51,-512.43
2009-01,79.31,4.37,,2009-01,-36.901,-671.4,,Jan-09,-671.35,124.04,-547.31
2009-02,81.12,4.40,,2009-02,-26.504,-636.1,,Feb-09,-636.11,85.85,-550.26
2009-03,81.79,4.40,,2009-03,-28.816,-605.5,,Mar-09,-605.51,71.66,-533.85
2009-04,80.67,4.39,,2009-04,-28.44,-571.8,,Apr-09,-571.80,6.12,-565.69
2009-05,77.54,4.35,,2009-05,-25.763,-537.0,,May-09,-537.04,-61.96,-599.00
2009-06,76.01,4.33,,2009-06,-26.876,-503.7,,Jun-09,-503.74,-91.62,-595.36
2009-07,75.47,4.32,,2009-07,-31.165,-470.0,,Jul-09,-470.01,-85.92,-555.94
2009-08,74.43,4.31,,2009-08,-29.938,-439.0,,Aug-09,-439.04,-59.52,-498.56
2009-09,73.35,4.30,,2009-09,-35.281,-414.2,,Sep-09,-414.18,-101.97,-516.15
2009-10,72.25,4.28,,2009-10,-32.933,-387.7,,Oct-09,-387.72,-79.63,-467.35
2009-11,71.81,4.27,,2009-11,-36.114,-380.6,,Nov-09,-380.59,-69.13,-449.72
2009-12,72.61,4.29,,2009-12,-39.902,-378.6,,Dec-09,-378.63,-96.97,-475.61
2010-01,73.08,4.29,,2010-01,-37.288,-379.0,,Jan-10,-379.02,-95.27,-474.29
2010-02,74.73,4.31,,2010-02,-39.718,-392.2,,Feb-10,-392.23,-99.99,-492.23
2010-03,74.42,4.31,,2010-03,-39.506,-402.9,,Mar-10,-402.92,-74.76,-477.69
2010-04,74.61,4.31,,2010-04,-40.571,-415.1,,Apr-10,-415.06,-46.09,-461.14
2010-05,77.66,4.35,,2010-05,-41.996,-431.3,,May-10,-431.29,-35.33,-466.62
2010-06,78.22,4.36,,2010-06,-49.941,-454.4,,Jun-10,-454.35,-18.38,-472.73
2010-07,75.95,4.33,,2010-07,-42.226,-465.4,,Jul-10,-465.41,24.78,-440.63
2010-08,75.14,4.32,,2010-08,-46.316,-481.8,,Aug-10,-481.79,24.24,-457.55
2010-09,74.19,4.31,,2010-09,-44.079,-490.6,,Sep-10,-490.59,26.01,-464.58
2010-10,71.53,4.27,,2010-10,-38.227,-495.9,,Oct-10,-495.88,49.97,-445.91
2010-11,72.05,4.28,,2010-11,-38.239,-498.0,,Nov-10,-498.01,64.93,-433.08
2010-12,73.00,4.29,,2010-12,-40.264,-498.4,,Dec-10,-498.37,79.46,-418.91
2011-01,72.15,4.28,,2011-01,-46.341,-507.4,,Jan-11,-507.42,126.80,-380.63
2011-02,71.23,4.27,,2011-02,-45.718,-513.4,,Feb-11,-513.42,125.53,-387.90
2011-03,70.06,4.25,,2011-03,-46.397,-520.3,,Mar-11,-520.32,91.53,-428.79
2011-04,68.84,4.23,,2011-04,-43.561,-523.3,,Apr-11,-523.31,99.50,-423.80
2011-05,68.92,4.23,,2011-05,-50.54,-531.8,,May-11,-531.85,69.83,-462.02
2011-06,68.84,4.23,,2011-06,-52.104,-534.0,,Jun-11,-534.01,69.23,-464.78
2011-07,68.38,4.23,,2011-07,-46.069,-537.9,,Jul-11,-537.86,33.45,-504.41
2011-08,68.33,4.22,,2011-08,-45.341,-536.9,,Aug-11,-536.88,23.54,-513.34
2011-09,70.41,4.25,,2011-09,-44.17,-537.0,,Sep-11,-536.97,9.28,-527.69
